Name,Description,Unit,DL = 0.0 Run: 1,DL = 0.25 Run: 1,DL = 0.50 Run: 1,DL = 0.75 Run: 1,DL = 1.0 Run: 1
Mine Enterprise,,,,,,,
  Mine Site,,,,,,,
    Trucking,,,,,,,
    Crusher,,,,,,,
    Direct Loading,,,,,,,
    Summary Results,,,,,,,
      Lump Results,,,,,,,
        Total Truck km,,kilometre,59699,59083,58792,57812,56630
        Total Truck Cost,,M$,2.39,2.36,2.35,2.31,2.27
        Total FEL Time,,hour,3662,3590,3512,3359,3233
        Total FEL Cost,,M$,3.66,3.59,3.51,3.36,3.23
        Total CR Time,,hour,1111.5,1115.8,1210.4,1245.8,1240.3
        Total CR Cost,,M$,8.89,8.93,9.68,9.97,9.92
        Tonnes Product,,tonne,3334430,3347461,3631331,3737328,3720780
        Total Value,,M$,449.16,451.12,488.05,503.6,501.12
        Grade Penalty,,M$,0.4,0.49,0.8,1.9,2.22
        Total Cost,,M$,15.34,15.37,16.35,17.54,17.64
        Net Revenue,,M$,433.82,435.74,471.7,486.06,483.47
        Unit Mining Cost,,$ per tonne,4.6,4.59,4.5,4.69,4.74
      Fines Results,,,,,,,
        Total Truck km,,kilometre,59699,59083,58792,57812,56630
        Total Truck Cost,,M$,2.39,2.36,2.35,2.31,2.27
        Total FEL Time,,hour,3662,3590,3512,3359,3233
        Total FEL Cost,,M$,3.66,3.59,3.51,3.36,3.23
        Total CR Time,,hour,1135,1144.1,1210.4,1275.9,1264.4
        Total CR Cost,,M$,9.08,9.15,9.68,10.21,10.12
        Tonnes Product,,tonne,3405062,3432210,3631331,3827766,3793292
        Total Value,,M$,457.64,461.29,488.05,514.45,509.82
        Grade Penalty,,M$,0.54,0.49,0.8,1.9,2.22
        Total Cost,,M$,15.67,15.6,16.35,17.78,17.84
        Net Revenue,,M$,441.97,445.69,471.7,496.67,491.98
        Unit Mining Cost,,$ per tonne,4.6,4.55,4.5,4.64,4.7
    Timeseries Results,,,,,,,
