Timestamp,Crusher Fines,Cr Fines Fe,Cr Fines SiO2,Crusher Input,Cr Input Fe,Cr Input SiO2,Crusher Lump,Cr Lump Fe,Cr Lump SiO2,Fines Fe,Fines SiO2,Lump Fe,Lump SiO2,R1 Fe,R1 SiO2,R1 Tonnes,R2 Fe,R2 SiO2,R2 Tonnes,R3 Fe,R3 SiO2,R3 Tonnes,W1 Fe,W1 SiO2,W1 Tonnes
,,,,,,,,,,,,,,,,,,,,,,,,,
1/01/2013 0:00,,,,,,,,,,,,,,,,,,,,,,,,,
1/01/2013 0:11,,,,,,,,,,,,,,63.2,6.12,450000,,,,,,,,,
1/01/2013 0:17,,,,,,,,,,,,,,63.2,6.12,449800,,,,,,,,,
1/01/2013 0:23,,,,,,,,,,,,,,63.2,6.12,449600,,,,,,,,,
1/01/2013 0:27,104,63.2,6.12,,,,96,63.2,6.12,,,,,,,,,,,,,,,,
1/01/2013 0:29,,,,,,,,,,,,,,63.2,6.12,449400,,,,,,,,,
1/01/2013 0:32,,,,,,,,,,,,,,,,,,,,63.6,5.98,610000,,,
1/01/2013 0:33,260,63.2,6.12,100,63.2,6.12,240,63.2,6.12,,,,,,,,,,,,,,,,
1/01/2013 0:34,,,,52.599275,63.2,6.12,,,,,,,,,,,,,,,,,,,
1/01/2013 0:35,,,,,,,,,,,,,,63.2,6.12,449200,,,,,,,,,
1/01/2013 0:38,,,,77.952857,64.720853,6.708162,,,,,,,,,,,,,,,,,,,
1/01/2013 0:39,,,,,,,,,,,,,,,,,62.5,6.01,530000,,,,,,
1/01/2013 0:39,416,63.2,6.12,200,65.008657,6.819465,384,63.2,6.12,,,,,,,,,,,,,,,,
1/01/2013 0:41,,,,127.952857,65.008657,6.819465,,,,,,,,,,,,,,,,,,,
1/01/2013 0:41,,,,,,,,,,,,,,,,,,,,63.6,5.98,609800,,,
1/01/2013 0:44,,,,177.952857,63.905659,6.392901,,,,,,,,,,,,,,,,,,,
1/01/2013 0:44,,,,,,,,,,,,,,63.2,6.12,449000,,,,,,,,,
1/01/2013 0:45,572,63.69327,6.310763,300,64.065146,7.291831,528,63.69327,6.310763,,,,,,,,,,,,,,,,
1/01/2013 0:46,,,,,,,,,,,,,,,,,62.5,6.01,529800,,,,,,
1/01/2013 0:47,,,,227.952857,64.065146,7.291831,,,,,,,,,,,,,,,,,,,
1/01/2013 0:48,,,,,,,,,,,,,,63.200855,6.120331,449200,,,,,,,,,
1/01/2013 0:50,,,,277.952857,64.558512,7.091349,,,,,,,,,,,,,,,,,,,
1/01/2013 0:51,728,63.772958,6.520992,400,63.990041,6.684887,672,63.772958,6.520992,,,,,,,,,,,,,,,,
1/01/2013 0:52,,,,,,,,,,,,,,,,,,,,63.6,5.98,609600,,,
1/01/2013 0:53,,,,327.952857,63.990041,6.684887,,,,,,,,,,,,,,,,,,,
1/01/2013 0:56,,,,377.952857,64.072249,7.217805,,,,,,,,,,,,,,,,,,,
1/01/2013 0:57,884,63.811266,6.549915,500,63.908828,6.789464,816,63.811266,6.549915,,,,,,,,,,,,,,,,
1/01/2013 0:59,,,,427.952857,63.908828,6.789464,,,,,,,,,,,,,,,,,,,
1/01/2013 1:01,,,,,,,,,,,,,,,,,,,,63.6,5.98,609400,,,
1/01/2013 1:02,,,,477.952857,63.460123,6.541208,,,,,,,,,,,,,,,,,,,
1/01/2013 1:03,1040,63.825901,6.585847,600,63.501387,6.375649,960,63.825901,6.585847,,,,,,,,,,,,,,,,
1/01/2013 1:05,,,,527.952857,63.501387,6.375649,,,,,,,,,,,,,,,,,,,
1/01/2013 1:07,,,,,,,,,,,,,,,,,,,,63.6,5.98,609200,,,
1/01/2013 1:09,1196,63.783573,6.55843,500,63.528481,6.266947,1104,63.783573,6.55843,,,,,,,,,,,,,,,,
1/01/2013 1:11,,,,,,,,,,,,,,,,,62.500644,6.010786,530000,,,,,,
1/01/2013 1:13,,,,293.214882,63.528481,6.266947,,,,,,,,,,,,,,,,,,,
1/01/2013 1:13,,,,,,,,,,,,,,63.20171,6.120661,449400,,,,,,,,,
1/01/2013 1:15,,,,,,,,,,,,,,,,,,,,63.6,5.98,609000,,,
